Date,Open,High,Low,Close,Volume
20240801 00:00:00,37540.0,37540.0,37540.0,37540.0,0
20240802 00:00:00,36980.0,36980.0,35490.0,35490.0,5
20240805 00:00:00,35120.0,35120.0,30850.0,30960.0,9
20240806 00:00:00,31100.0,33910.0,31100.0,33770.0,10
20240807 00:00:00,35040.0,35040.0,34610.0,34610.0,2
20240808 00:00:00,34870.0,34870.0,34330.0,34330.0,2
20240809 00:00:00,34760.0,34980.0,34590.0,34590.0,3
20240813 00:00:00,35740.0,35740.0,35740.0,35740.0,0
20240814 00:00:00,35900.0,35900.0,35900.0,35900.0,0
20240815 00:00:00,35900.0,36170.0,35900.0,36170.0,1
20240816 00:00:00,37240.0,37630.0,37240.0,37630.0,1
20240819 00:00:00,36720.0,36720.0,36720.0,36720.0,0
20240820 00:00:00,37610.0,37610.0,37610.0,37610.0,0
20240821 00:00:00,37500.0,37500.0,37500.0,37500.0,0
20240822 00:00:00,37760.0,37760.0,37760.0,37760.0,0
20240823 00:00:00,38000.0,38000.0,37950.0,37950.0,1
20240826 00:00:00,37570.0,37570.0,37570.0,37570.0,0
20240827 00:00:00,37830.0,37830.0,37830.0,37830.0,0
20240828 00:00:00,37900.0,37900.0,37900.0,37900.0,0
20240829 00:00:00,37880.0,37880.0,37880.0,37880.0,0
20240830 00:00:00,38250.0,38250.0,38250.0,38250.0,0
20240902 00:00:00,38230.0,38230.0,38230.0,38230.0,0
20240903 00:00:00,38320.0,38320.0,38320.0,38320.0,0
20240904 00:00:00,36520.0,36520.0,36520.0,36520.0,0
20240905 00:00:00,36130.0,36130.0,36130.0,36130.0,0
20240906 00:00:00,35880.0,35880.0,35880.0,35880.0,0
20240909 00:00:00,35370.0,35750.0,35370.0,35750.0,1
20240910 00:00:00,35670.0,35670.0,35670.0,35670.0,0
20240911 00:00:00,35290.0,35290.0,35290.0,35290.0,0
20240912 00:00:00,36390.0,36390.0,36390.0,36390.0,0
20240913 00:00:00,36020.0,36020.0,36020.0,36020.0,0
20240917 00:00:00,35740.0,35740.0,35740.0,35740.0,0
20240918 00:00:00,35910.0,35910.0,35910.0,35910.0,0
20240919 00:00:00,36520.0,36620.0,36520.0,36620.0,1
20240920 00:00:00,37270.0,37270.0,37270.0,37270.0,0
20240923 00:00:00,37270.0,37270.0,37270.0,37270.0,0
20240924 00:00:00,37480.0,37550.0,37480.0,37550.0,1
20240925 00:00:00,37850.0,37850.0,37390.0,37390.0,1
20240926 00:00:00,38380.0,38380.0,38380.0,38380.0,0
20240927 00:00:00,39560.0,39560.0,39560.0,39560.0,0
20240930 00:00:00,37690.0,37690.0,37690.0,37690.0,0
20241001 00:00:00,38500.0,38500.0,38500.0,38500.0,0
20241002 00:00:00,37480.0,37480.0,37480.0,37480.0,0
20241003 00:00:00,38320.0,38320.0,38320.0,38320.0,0
20241004 00:00:00,38290.0,38290.0,38290.0,38290.0,0
20241007 00:00:00,39120.0,39120.0,39120.0,39120.0,0
20241008 00:00:00,38800.0,38820.0,38710.0,38710.0,2
20241009 00:00:00,39030.0,39030.0,39030.0,39030.0,0
20241010 00:00:00,39050.0,39050.0,39050.0,39050.0,0
20241011 00:00:00,39270.0,39350.0,39270.0,39350.0,2
20241014 00:00:00,39350.0,39350.0,39350.0,39350.0,0
20241015 00:00:00,39660.0,39660.0,39660.0,39660.0,0
20241016 00:00:00,38920.0,38920.0,38920.0,38920.0,0
20241017 00:00:00,38840.0,38840.0,38840.0,38840.0,0
20241018 00:00:00,38760.0,38760.0,38760.0,38760.0,0
20241021 00:00:00,38770.0,38770.0,38770.0,38770.0,0
20241022 00:00:00,38180.0,38180.0,38180.0,38180.0,0
20241023 00:00:00,37810.0,37810.0,37810.0,37810.0,0
20241024 00:00:00,37900.0,37900.0,37900.0,37900.0,0
20241025 00:00:00,37740.0,37740.0,37740.0,37740.0,0
20241028 00:00:00,38400.0,38400.0,38400.0,38400.0,0
20241029 00:00:00,38700.0,38700.0,38700.0,38700.0,0
20241030 00:00:00,39230.0,39230.0,39230.0,39230.0,0
20241031 00:00:00,38790.0,38790.0,38790.0,38790.0,0
20241101 00:00:00,37860.0,37860.0,37860.0,37860.0,0
20241105 00:00:00,38390.0,38390.0,38390.0,38390.0,0
20241106 00:00:00,39440.0,39440.0,39440.0,39440.0,0
20241107 00:00:00,38990.0,38990.0,38990.0,38990.0,0
20241108 00:00:00,39270.0,39270.0,39270.0,39270.0,0
20241111 00:00:00,39320.0,39320.0,39320.0,39320.0,0
20241112 00:00:00,39260.0,39260.0,39180.0,39180.0,2
20241113 00:00:00,38420.0,38420.0,38420.0,38420.0,0
20241114 00:00:00,38350.0,38350.0,38350.0,38350.0,0
20241115 00:00:00,38440.0,38440.0,38440.0,38440.0,0
20241118 00:00:00,38050.0,38050.0,38050.0,38050.0,0
20241119 00:00:00,38210.0,38210.0,38210.0,38210.0,0
20241120 00:00:00,38230.0,38230.0,38230.0,38230.0,0
20241121 00:00:00,37830.0,37830.0,37830.0,37830.0,0
20241122 00:00:00,38130.0,38130.0,38130.0,38130.0,0
20241125 00:00:00,38540.0,38540.0,38540.0,38540.0,0
20241126 00:00:00,38290.0,38290.0,38290.0,38290.0,0
20241127 00:00:00,37900.0,37900.0,37900.0,37900.0,0
20241128 00:00:00,38170.0,38170.0,38170.0,38170.0,0
20241129 00:00:00,37960.0,37960.0,37960.0,37960.0,0
20241202 00:00:00,38260.0,38260.0,38260.0,38260.0,0
20241203 00:00:00,38940.0,38940.0,38940.0,38940.0,0
20241204 00:00:00,39060.0,39060.0,39060.0,39060.0,0
